Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginFilterManuscripts,Chrome 65.0.3325.181,,2018-03-27 10:29:17,2018-03-27 10:29:47,30.065s,PASSED
,,,,,,
Test Cases/Sign In/Sign In flow,Chrome 65.0.3325.181,,2018-03-27 10:29:17,2018-03-27 10:29:26,8.676s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:29:18,2018-03-27 10:29:20,2.419s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:29:20,2018-03-27 10:29:25,5.012s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:29:25,2018-03-27 10:29:25,0.014s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:25,2018-03-27 10:29:25,0.148s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:29:25,2018-03-27 10:29:26,0.216s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:26,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:26,0.091s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:26,0.204s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:26,0.124s,PASSED
,,,,,,
Test Cases/Filter Manuscripts/Filter the manuscripts,Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:47,20.872s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:29:26,2018-03-27 10:29:27,1.003s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:29:27,2018-03-27 10:29:33,5.842s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:33,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:33,0.101s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:33,0.194s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:33,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:33,0.097s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:29:33,2018-03-27 10:29:34,0.200s,PASSED
Statement - loginButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/login),Chrome 65.0.3325.181,,2018-03-27 10:29:34,2018-03-27 10:29:34,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:34,2018-03-27 10:29:34,0.096s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.181,,2018-03-27 10:29:34,2018-03-27 10:29:34,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:34,2018-03-27 10:29:37,3.176s,PASSED
Statement - submitted = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Submitted),Chrome 65.0.3325.181,,2018-03-27 10:29:37,2018-03-27 10:29:37,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:37,2018-03-27 10:29:37,0.117s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 10:29:37,2018-03-27 10:29:39,2.085s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.181,,2018-03-27 10:29:39,2018-03-27 10:29:39,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:39,2018-03-27 10:29:39,0.084s,PASSED
Statement - draft = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Draft),Chrome 65.0.3325.181,,2018-03-27 10:29:39,2018-03-27 10:29:39,0.009s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:39,2018-03-27 10:29:39,0.138s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 10:29:39,2018-03-27 10:29:41,2.049s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.181,,2018-03-27 10:29:41,2018-03-27 10:29:41,0.003s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:41,2018-03-27 10:29:42,0.055s,PASSED
Statement - all = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/All),Chrome 65.0.3325.181,,2018-03-27 10:29:42,2018-03-27 10:29:42,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:29:42,2018-03-27 10:29:42,0.109s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 10:29:42,2018-03-27 10:29:45,3.082s,PASSED
scrollToPosition,Chrome 65.0.3325.181,,2018-03-27 10:29:45,2018-03-27 10:29:45,0.017s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 10:29:45,2018-03-27 10:29:47,2.061s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-27 10:29:47,2018-03-27 10:29:47,0.100s,PASSED
