Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - adminDashboard = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewUser/adminDashboard),Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:02,0.010s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:02,0.140s,PASSED
Statement - users = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewUser/users),Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:02,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:02,0.105s,PASSED
Statement - admin = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/td_user),Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:02,0.004s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-27 10:33:02,2018-03-27 10:33:03,1.128s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 10:33:03,2018-03-27 10:33:04,0.059s,PASSED
Statement - edit = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/a_Edit),Chrome 65.0.3325.181,,2018-03-27 10:33:04,2018-03-27 10:33:04,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:04,2018-03-27 10:33:04,0.108s,PASSED
Statement - firstName = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/firstName),Chrome 65.0.3325.181,,2018-03-27 10:33:04,2018-03-27 10:33:04,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:04,2018-03-27 10:33:05,1.095s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.169s,PASSED
Statement - lastName = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/lastName),Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.003s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.093s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.234s,PASSED
Statement - affiliation = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/affiliation),Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:05,0.085s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:33:05,2018-03-27 10:33:06,0.392s,PASSED
Statement - title = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/titleDropDown),Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.102s,PASSED
Statement - professor = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/Professor),Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.010s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.121s,PASSED
Statement - editorInChief = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/editorInChief),Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.115s,PASSED
Statement - save = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(EditUser/save),Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:33:06,2018-03-27 10:33:06,0.157s,PASSED
